rank,player,event,source_platform,source_url,failure_reason,parse_status
2,Marco Hemantha Kaludura Silva,2026 Turin Pokémon VGC Special Championships,unknown,,No source URL from Pikalytics,source_missing
9,Feis,Alpensee Tour (Reg M-A) #58,unknown,,No source URL from Pikalytics,source_missing
31,N8_dawgg,˗ˋˏ❤︎ˎˊ˗ Pomelo Late Night Tour,unknown,,No source URL from Pikalytics,source_missing
52,Louis Fontvieille,2026 Turin Pokémon VGC Special Championships,unknown,,No source URL from Pikalytics,source_missing
59,BadassFroslass,SpearPillar Champions Tour #4 | Reg M-A $100 Prize,unknown,,No source URL from Pikalytics,source_missing
63,Nick Navarre,2026 Indianapolis Pokémon VGC Regional Championships,unknown,,No source URL from Pikalytics,source_missing
79,QueerCrocodile,Talon's FIGHT CLUB #87 POKEMON CHAMPIONS,unknown,,No source URL from Pikalytics,source_missing
83,Gabeeel,VGC UU Regulation M-A Weekly #4,unknown,,No source URL from Pikalytics,source_missing
87,DreepyG,Vapor's Saturday Showdown #7,unknown,,No source URL from Pikalytics,source_missing
89,Hữu Hoàng,Trial of Champions,unknown,,No source URL from Pikalytics,source_missing
91,almondspy,Chaos League Sunday Slam #101,unknown,,No source URL from Pikalytics,source_missing
94,Oscar P,Pokemon Dominicana - Champions League #5,unknown,,No source URL from Pikalytics,source_missing
113,Soraxjm,Egman Event's $300+ Pokémon Champions May Clash!,unknown,,No source URL from Pikalytics,source_missing
117,QueerCrocodile,Road to Area 229 #3,unknown,,No source URL from Pikalytics,source_missing
128,BHelixB,Friday Fight Night #58 Reg M-A Bo3,unknown,,No source URL from Pikalytics,source_missing
129,megathorn,Champions Collective Invitational I,unknown,,No source URL from Pikalytics,source_missing
130,Caio A,Intimidators Champions Challenge #8 - REG M-A,unknown,,No source URL from Pikalytics,source_missing
131,Vergil,Intimidators Champions Challenge #9- REG M-A,unknown,,No source URL from Pikalytics,source_missing
133,Fluffy_m1n,Devils Den Tournaments #77,unknown,,No source URL from Pikalytics,source_missing
136,Spoinkman,Road to Indy - 2,unknown,,No source URL from Pikalytics,source_missing
137,IdleFroicker,Talon's FIGHT CLUB #85 POKEMON CHAMPIONS,unknown,,No source URL from Pikalytics,source_missing
139,volcaronavgc,Hatterene Series W23/2026 - Champions M-A,unknown,,No source URL from Pikalytics,source_missing
140,Samuel T,10ToesDownVGC #31 Champions $100 Top 4(Late Join),unknown,,No source URL from Pikalytics,source_missing
141,Amoht,Alpensee Tour (Reg M-A) #60 - ✨🐢 for #1!,unknown,,No source URL from Pikalytics,source_missing
142,Cfoowl,Champions Collective #8,unknown,,No source URL from Pikalytics,source_missing
143,Carlos Espí,Champions Tour LEPE #6,unknown,,No source URL from Pikalytics,source_missing
147,averagememer57,The Drywalls Series #7 - Champions!,unknown,,No source URL from Pikalytics,source_missing
150,Soraxjm,Flashback Midwest Monthly II! $20 USD to Winner!,unknown,,No source URL from Pikalytics,source_missing
152,ARTYCODE1,DucPokémonChampions#4,unknown,,No source URL from Pikalytics,source_missing
153,Alvaro360,Champions Collective #10,unknown,,No source URL from Pikalytics,source_missing
155,Aung_Cow,WARTORTLE WEDNESDAYS #62 REG M-A BO3 SWISS,unknown,,No source URL from Pikalytics,source_missing
158,Boopmydoop,The Drywalls Series #5 - Champions!,unknown,,No source URL from Pikalytics,source_missing
159,Eduardo Cunha,Game Corner Showdown 2025 - Split 3 | Torneio #5,unknown,,No source URL from Pikalytics,source_missing
163,lauletnb,Unova Champions League #7 / POKÉMON CHAMPIONS,unknown,,No source URL from Pikalytics,source_missing
164,ICPX,Champions Collective Invitational I,unknown,,No source URL from Pikalytics,source_missing
165,ZoryaPet,HeroicTitan's VGC Battle Arena (Bo3),unknown,,No source URL from Pikalytics,source_missing
166,Rheiyne,Mt. Moon Champions VGC Weekly #2 2026,unknown,,No source URL from Pikalytics,source_missing
167,Aarubi,Intimidators Champions Challenge #14 REG M-A,unknown,,No source URL from Pikalytics,source_missing
168,LigmaSigma67,King's Gambit #4 | Reg M-A,unknown,,No source URL from Pikalytics,source_missing
169,Car,Northern Ontario VGC Tour - May 20th,unknown,,No source URL from Pikalytics,source_missing
170,mihir,Pokepal Smackdown #142 (Champions) (Reg M-A),unknown,,No source URL from Pikalytics,source_missing
171,SinVGC,VGC Gemeinde Showdown #8,unknown,,No source URL from Pikalytics,source_missing
172,darxzy,VGC Trainer school x MMHM x Pride month event! #1,unknown,,No source URL from Pikalytics,source_missing
173,tillly,Friday Fight Night #55 Reg M-A Bo3,unknown,,No source URL from Pikalytics,source_missing
174,jeanlopez25,Pokemon Dominicana - Champions League #6,unknown,,No source URL from Pikalytics,source_missing
175,JuanPabla,Devils Den Tournaments #77,unknown,,No source URL from Pikalytics,source_missing
176,krem,Buffet Battles Regulation M-A #2 - 23/5/26,unknown,,No source URL from Pikalytics,source_missing
177,AleK97,Maddo's Cup #8 | 100€ for the Winner | Reg M-A,unknown,,No source URL from Pikalytics,source_missing
178,Gouillou,Rookidee Memorial Day Tourney,unknown,,No source URL from Pikalytics,source_missing
179,Bebot,HeroicTitan's VGC Battle Arena,unknown,,No source URL from Pikalytics,source_missing
180,KennethIsBack,Sketch Academy Pride Month x MMHM Qualifier 1,unknown,,No source URL from Pikalytics,source_missing
181,moicito,Panucho VGC Express,unknown,,No source URL from Pikalytics,source_missing
182,rickinch,Pokemon Dominicana - Practice Tour,unknown,,No source URL from Pikalytics,source_missing
183,DisPlotfr,Delites Champions Cup #3 (Reg M-A)(Shinies to Cut),unknown,,No source URL from Pikalytics,source_missing
184,juneberry123,Pokepal Smackdown #141 (Champions) (Reg M-A),unknown,,No source URL from Pikalytics,source_missing
185,Evan Scott,Thavorian Trials - 1,unknown,,No source URL from Pikalytics,source_missing
186,AthenaStriveVGC,Talon's FIGHT CLUB #86 POKEMON CHAMPIONS,unknown,,No source URL from Pikalytics,source_missing
187,DhonwolfVGC,TIM3L3SS TOURS,unknown,,No source URL from Pikalytics,source_missing
188,Luis_Flygon,SpearPillar Champions Tour #6 | Reg M-A $100 Prize,unknown,,No source URL from Pikalytics,source_missing
189,NMR | Ueda,Intimidators Champions Challenge #11- REG M-A,unknown,,No source URL from Pikalytics,source_missing
190,JuanPabla,Buffet Battles Regulation M-A #1 - 16/5/26,unknown,,No source URL from Pikalytics,source_missing
191,Evan Scott,2026 Indianapolis Pokémon VGC Regional Championships,unknown,,No source URL from Pikalytics,source_missing
192,Lorenzo Profeta,2026 Turin Pokémon VGC Special Championships,unknown,,No source URL from Pikalytics,source_missing
193,SoulVGC,Friday Fight Night #55 Reg M-A Bo3,unknown,,No source URL from Pikalytics,source_missing
194,giodude09,Mid-Week Smoke #3,unknown,,No source URL from Pikalytics,source_missing
195,h8davis,Thavorian Trials - 1,unknown,,No source URL from Pikalytics,source_missing
196,Ruben Abreu,Game Corner Showdown 2025 - Split 3 | Torneio #4,unknown,,No source URL from Pikalytics,source_missing
197,Rees,Alpensee Tour (Reg M-A) #60 - ✨🐢 for #1!,unknown,,No source URL from Pikalytics,source_missing
198,Altkyle,Devils Den Tournaments #78,unknown,,No source URL from Pikalytics,source_missing
199,Drurtle,SpearPillar Champions Tour #5 | Reg M-A $100 Prize,unknown,,No source URL from Pikalytics,source_missing
200,10522,제3회 너클시티 챌린저스 [Hammerlocke Challengers],unknown,,No source URL from Pikalytics,source_missing
